Mixture,5,4,7,3,1,2,6,8,P-value,Correlation,RMSE
NF54.37.1,0,0.337238740245206,0.0309747483240858,0.521009616683185,0.0379236727960777,0,0.0728532219514457,0,0,0.553291714294948,0.839752392902492
NF54.37.2,0,0.275938844038011,0.0728474260702428,0.517560105261599,0.0609157122955707,0,0.0727379123345767,0,0,0.647330754173289,0.761312383895376
NF54.41.1,0,0.82099940342377,0,0.0195208397501382,0.015354801827084,0,0.144124954999007,0,0.002,0.446204947721852,0.898193921384991
NF54.41.2,0,0.831456664685949,0,0.0226780225329761,0.0154892963718319,0,0.128726401368144,0.00164961504109971,0,0.513240187341954,0.857306361317169
PB4.37.1,0,0.236974488732337,0.0903664696788776,0.47842074024211,0.0835305321328719,0.0136942245472868,0.0970135446665169,0,0.016,0.255731634579422,1.04023950944987
PB4.37.2,0,0.118510995794285,0.105285898316266,0.60621825863888,0.0875517959447713,0.0217849455213037,0.0606481057844947,0,0.002,0.457144682992038,0.931653361720644
PB4.41.1,0,0.783504420838495,0,0.0502875008007869,0.00351608838577136,0,0.138097870482394,0.0245941194925528,0.00800000000000001,0.326101131867298,0.96619288546145
PB4.41.2,0,0.475173992642055,0.0196734719295756,0.353432724598531,0.0497733723884244,0,0.101946438441414,0,0,0.560637848668518,0.826746756684625
PB31.37.1,0,0.236765024261635,0.198760715675745,0.108133796007237,0.116029100922259,0.0277519285516458,0.312559434581477,0,0.01,0.295222019423575,1.018663869231
PB31.37.2,0,0.156631342954668,0.158840159931601,0.267740236998317,0.191225375929514,0.0589891171766575,0.166573767009243,0,0.004,0.373431127581263,0.952746321094829
PB31.41.1,0,0.637188630111397,0,0.200896683626676,0.0508860119250951,0,0.111028674336832,0,0.004,0.376638142757692,0.935021499531205
PB31.41.2,0,0.75463159422403,0,0.0922805948162879,0.0160199514327592,0,0.137067859526923,0,0.002,0.436519031327581,0.902495372934393
